manufacturer,model,type,cityMPG,enginesize,weight,fuelEco
Acura,Integra,Small,25,1.8,2705,Good
Acura,Legend,Midsize,18,3.2,3560,Poor
Audi,90,Compact,20,2.8,3375,Poor
Audi,100,Midsize,19,2.8,3405,Poor
BMW,535i,Midsize,22,3.5,3640,Good
Buick,Century,Midsize,22,2.2,2880,Good
Buick,LeSabre,Large,19,3.8,3470,Poor
Buick,Riviera,Midsize,19,3.8,3495,Poor
Buick,Roadmaster,Large,16,5.7,4105,Poor
Cadillac,DeVille,Large,16,4.9,3620,Poor
Cadillac,Seville,Midsize,16,4.6,3935,Poor
Chevrolet,Astro,Van,15,4.3,4025,Poor
Chevrolet,Camaro,Sporty,19,3.4,3240,Poor
Chevrolet,Caprice,Large,17,5,3910,Poor
Chevrolet,Cavalier,Compact,25,2.2,2490,Good
Chevrolet,Corsica,Compact,25,2.2,2785,Good
Chevrolet,Corvette,Sporty,17,5.7,3380,Poor
Chevrolet,Lumina,Midsize,21,2.2,3195,Poor
Chevrolet,Lumina_APV,Van,18,3.8,3715,Poor
Chrylser,Concorde,Large,20,3.3,3515,Poor
Chrysler,Imperial,Large,20,3.3,3570,Poor
Chrysler,LeBaron,Compact,23,3,3085,Good
Dodge,Caravan,Van,17,3,3705,Poor
Dodge,Colt,Small,29,1.5,2270,Good
Dodge,Dynasty,Midsize,21,2.5,3080,Poor
Dodge,Shadow,Small,23,2.2,2670,Good
Dodge,Spirit,Compact,22,2.5,2970,Good
Dodge,Stealth,Sporty,18,3,3805,Poor
Eagle,Summit,Small,29,1.5,2295,Good
Eagle,Vision,Large,20,3.5,3490,Poor
Ford,Aerostar,Van,15,3,3735,Poor
Ford,Crown_Victoria,Large,18,4.6,3950,Poor
Ford,Escort,Small,23,1.8,2530,Good
Ford,Festiva,Small,31,1.3,1845,Good
Ford,Mustang,Sporty,22,2.3,2850,Good
Ford,Probe,Sporty,24,2,2710,Good
Ford,Taurus,Midsize,21,3,3325,Poor
Ford,Tempo,Compact,22,2.3,2690,Good
Geo,Metro,Small,46,1,1695,Good
Geo,Storm,Sporty,30,1.6,2475,Good
Honda,Accord,Compact,24,2.2,3040,Good
Honda,Civic,Small,42,1.5,2350,Good
Honda,Prelude,Sporty,24,2.3,2865,Good
Hyundai,Elantra,Small,22,1.8,2620,Good
Hyundai,Excel,Small,29,1.5,2345,Good
Hyundai,Scoupe,Sporty,26,1.5,2285,Good
Hyundai,Sonata,Midsize,20,2,2885,Poor
Infiniti,Q45,Midsize,17,4.5,4000,Poor
Lexus,ES300,Midsize,18,3,3510,Poor
Lexus,SC300,Midsize,18,3,3515,Poor
Lincoln,Continental,Midsize,17,3.8,3695,Poor
Lincoln,Town_Car,Large,18,4.6,4055,Poor
Mazda,323,Small,29,1.6,2325,Good
Mazda,626,Compact,26,2.5,2970,Good
Mazda,MPV,Van,18,3,3735,Poor
Mazda,Protege,Small,28,1.8,2440,Good
Mazda,RX-7,Sporty,17,1.3,2895,Poor
Mercedes-Benz,190E,Compact,20,2.3,2920,Poor
Mercedes-Benz,300E,Midsize,19,3.2,3525,Poor
Mercury,Capri,Sporty,23,1.6,2450,Good
Mercury,Cougar,Midsize,19,3.8,3610,Poor
Mitsubishi,Diamante,Midsize,18,3,3730,Poor
Mitsubishi,Mirage,Small,29,1.5,2295,Good
Nissan,Altima,Compact,24,2.4,3050,Good
Nissan,Maxima,Midsize,21,3,3200,Poor
Nissan,Quest,Van,17,3,4100,Poor
Nissan,Sentra,Small,29,1.6,2545,Good
Oldsmobile,Achieva,Compact,24,2.3,2910,Good
Oldsmobile,Cutlass_Ciera,Midsize,23,2.2,2890,Good
Oldsmobile,Eighty-Eight,Large,19,3.8,3470,Poor
Oldsmobile,Silhouette,Van,18,3.8,3715,Poor
Plymouth,Laser,Sporty,23,1.8,2640,Good
Pontiac,Bonneville,Large,19,3.8,3495,Poor
Pontiac,Firebird,Sporty,19,3.4,3240,Poor
Pontiac,Grand_Prix,Midsize,19,3.4,3450,Poor
Pontiac,LeMans,Small,31,1.6,2350,Good
Pontiac,Sunbird,Compact,23,2,2575,Good
Saab,900,Compact,20,2.1,2775,Poor
Saturn,SL,Small,28,1.9,2495,Good
Subaru,Justy,Small,33,1.2,2045,Good
Subaru,Legacy,Compact,23,2.2,3085,Good
Subaru,Loyale,Small,25,1.8,2490,Good
Suzuki,Swift,Small,39,1.3,1965,Good
Toyota,Camry,Midsize,22,2.2,3030,Good
Toyota,Celica,Sporty,25,2.2,2950,Good
Toyota,Previa,Van,18,2.4,3785,Poor
Toyota,Tercel,Small,32,1.5,2055,Good
Volkswagen,Corrado,Sporty,18,2.8,2810,Poor
Volkswagen,Eurovan,Van,17,2.5,3960,Poor
Volkswagen,Fox,Small,25,1.8,2240,Good
Volkswagen,Passat,Compact,21,2,2985,Poor
Volvo,240,Compact,21,2.3,2985,Poor
Volvo,850,Midsize,20,2.4,3245,Poor
